"FAC.","FACILITY NAME","ACTIVITY TYPE","ACTIVITY DATE","S or U","STAFF INITIALS","NOTES","SERVIC_KEY","FAC KEY","FACILITY TYPE","DAYCARE RED VIOLATIONS","REINSPECTION DUE","s_GUID","s_ColLineage","s_Generation","s_Lineage"
"27DCC67","JACK N' JILL/HUDSON","ANNUAL INSPECTION",2012-11-28 0:00:00,"U","GR",,7492,,"DAY CARE CENTER",,,"{843034A0-CABE-4F7B-99A6-E85655B516A8}",,266,
"27DCC119","PITTER-PATTER DCC","ANNUAL INSPECTION",2012-11-28 0:00:00,"U","GR",,7493,,"DAY CARE CENTER",,,"{5151116A-5895-4868-BADA-84007D8ABDF7}",,266,
"27-7943","MOTEL 6 - #1221","ANNUAL INSPECTION",2012-11-30 0:00:00,"U","PR",,7495,,"HOTEL/MOTEL",,,"{99381F01-5ADD-4ECE-BD57-65C546D66D7D}",,266,
"27-0052","MARTIN MOBILE HOME PARK","ANNUAL INSPECTION",2012-12-03 0:00:00,"S","PR",,7496,,"MOBILE HOME PARK",,,"{FE95E357-D75E-4BD2-B21F-FAF2F668F29F}",,266,
"27dcc90","LOVING TOUCH III","1ST REINSPECTION",2012-11-30 0:00:00,"S","PR",,7497,,"DAY CARE CENTER",,,"{5F855990-AB15-4494-8AFE-BD65E365A487}",,266,
"27-1282","HOLIDAY INN EXPRESS - GREECE","ANNUAL INSPECTION",2012-12-03 0:00:00,"S","GR",,7498,,"HOTEL/MOTEL",,,"{C18E03B6-1264-4DAD-99FA-EB4782159AD6}",,266,
"27dcc239","AFTERSCHOOL IN THE PARK","ANNUAL INSPECTION",2013-03-27 0:00:00,"U","ES",,7921,,"DAY CARE CENTER",0,,"{85EE6E93-9EE0-45A4-B523-C3036F169720}",,266,
"27dcc223","JCC SCHOOL AGE PROGRAM","ANNUAL INSPECTION",2013-03-27 0:00:00,"U","ES",,7922,,"DAY CARE CENTER",1,,"{0857EBF9-2E32-448F-8175-9BC5A0725CB9}",,266,
"27-6992","VAN PUTTE FARMWORKER HOUSING","ANNUAL INSPECTION",2013-03-28 0:00:00,"S","PR",,7923,,"MIGRANT HOUSING",0,,"{2532A518-114C-48F2-B871-4CAEA618EC62}",,266,
"27dcc93","MARGARET'S HOUSE - RIT","1ST REINSPECTION",2013-03-28 0:00:00,"S","PR",,7924,,"DAY CARE CENTER",0,,"{19859E44-FB91-4416-AF16-1E09D72361D1}",,266,
"27-0708","BROCKPORT INN","ANNUAL INSPECTION",2013-03-29 0:00:00,"S","PR",,7925,,"HOTEL/MOTEL",0,,"{3152C45D-7558-4D91-BB9B-415FA4A7ADE2}",,266,
"27-8109","SUN TAN CITY - GATES","PRE-OP INSPECTION",2013-03-29 0:00:00,"S","ES","Facility is opening 4/1/2013.  Will do annual inspection in  two or three weks.",7926,,"TANNING FACILITY",0,,"{07B245F0-777E-45A1-8F6A-6174FCB11BA2}",,266,
"27dcc191","PARK AVE. DCC EAST","1ST REINSPECTION",2013-03-25 0:00:00,"U","ES",,7927,,"DAY CARE CENTER",0,,"{9F790568-BE01-47D8-933F-F72881D85D63}",,266,
"27dcc99","NEW BORN FELLOWSHIP DAY CARE","2ND REINSPECTION",2013-04-08 0:00:00,"S","ES",,7928,,"DAY CARE CENTER",0,,"{43F4E060-AB75-410B-92FD-FA4AF19FC16C}",,266,
"27dcc75","INSPIRE LEARNING & CHILDCARE- BUFFALO RD.","FIELD VISIT",2013-04-11 0:00:00,"U","ES",,7929,,"DAY CARE CENTER",0,,"{4B560EE2-D567-4A15-8FC3-B2220AE4C96A}",,266,
"27-6547","SODOMA FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2013-04-11 0:00:00,"S","PR",,7930,,"MIGRANT HOUSING",0,,"{B5395943-352E-4606-9303-9159EEAC899A}",,266,
"27-0138","FRIENDLY MOTEL","ANNUAL INSPECTION",2013-04-11 0:00:00,"S","PR",,7931,,"HOTEL/MOTEL",0,,"{436C1DEA-B6D8-4C3B-A751-60FCD62A948D}",,266,
"27-6016","COURTYARD WEST","ANNUAL INSPECTION",2013-04-11 0:00:00,"S","PR",,7932,,"HOTEL/MOTEL",0,,"{134729BC-4E9E-48F0-A382-100B11ACB99F}",,266,
"27dcc86","YMCA CHILDCARE AT LEWIS ST. CENTER","1ST REINSPECTION",2013-04-09 0:00:00,"S","PR",,7933,,"DAY CARE CENTER",0,,"{DF96D9DD-C580-4A71-A8BB-5C6044E1D519}",,266,
"27dcc143","STORYBOOK #1 DCC","1ST REINSPECTION",2013-04-10 0:00:00,"S","PR",,7934,,"DAY CARE CENTER",0,,"{715F688C-0743-425A-941A-2023FE899E56}",,266,
"27dcc87","LITTLE HEARTS DCC","ANNUAL INSPECTION",2013-04-10 0:00:00,"S","PR",,7935,,"DAY CARE CENTER",0,,"{DA7117C6-454A-4234-B2F0-F4068ADD8184}",,266,
"27dcc156","TWELVE CORNERS DAY CARE CENTER","1ST REINSPECTION",2013-04-08 0:00:00,"S","PR",,7936,,"DAY CARE CENTER",0,,"{0618D62D-9BD3-4BAF-8DAB-F975C60DD19E}",,266,
"27dcc59","HEADSTART - HUDSON","1ST REINSPECTION",2013-04-08 0:00:00,"S","PR",,7937,,"DAY CARE CENTER",0,,"{6D060A38-7359-42D4-9ABC-2181EFFEAF1F}",,266,
"27dcc247","OVER THE RAINBOW KIDS PLACE","2ND REINSPECTION",2013-04-05 0:00:00,"S","PR",,7938,,"DAY CARE CENTER",0,,"{E564E9F4-A011-4232-A638-4711369DF06B}",,266,
"27dcc248","GENTLE TOUCH DAY CARE","PRE-OP INSPECTION",2013-04-02 0:00:00,"S","PR",,7939,,"DAY CARE CENTER",0,,"{25147B90-D2BF-4DB9-886C-24A9CB315471}",,266,
"27dcc144","STORYBOOK #1/TOBEY ROAD","1ST REINSPECTION",2013-04-01 0:00:00,"S","PR",,7940,,"DAY CARE CENTER",0,,"{F5841E3F-F525-4AF1-BE47-4C815A81834D}",,266,
"27-0621","DORKAT MOTEL","ANNUAL INSPECTION",2013-04-10 0:00:00,"U","PR",,7941,,"HOTEL/MOTEL",0,,"{3DEFBBC4-9410-4964-96AB-102D78E499DA}",,266,
"27-5192","MARTIN FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2014-03-26 0:00:00,"U","PR",,8666,,"MIGRANT HOUSING",0,,"{4EF9E5C7-CF73-42E8-A152-DF18D7AFDE1D}",,266,
"27dcc146","STORYBOOK/PINNACLE RD.","ANNUAL INSPECTION",2014-03-26 0:00:00,"S","PR",,8667,,"DAY CARE CENTER",0,,"{EA09B95A-3CAA-490B-B819-DB05FB141CA6}",,266,
"27dcc147","SUNSHINE DAY CARE","ANNUAL INSPECTION",2014-03-26 0:00:00,"S","PR",,8668,,"DAY CARE CENTER",0,,"{F3017DBE-C3A6-4FA6-96A0-490FB043EA57}",,266,
"27dcc79","PARTNERS IN COMMUNITY DEVELOPMENT/FAIRPORT","ANNUAL INSPECTION",2014-03-27 0:00:00,"S","PR",,8669,,"DAY CARE CENTER",0,,"{E70957FD-6CF8-4994-89B8-8CCD8ACA8BE7}",,266,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","FIELD VISIT",2014-03-27 0:00:00,"S","PR","Fire at property-did not involve housing units.PR",8670,,"MIGRANT HOUSING",0,,"{B4EC9C96-CB1E-4761-BAE0-781FD4A76808}",,266,
"27-6547","SODOMA FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2014-03-27 0:00:00,"U","PR",,8671,,"MIGRANT HOUSING",0,,"{594ED78A-E132-4C8E-AD8B-788F086F0C2F}",,266,
"27-7412","THE DOWNTOWN FITNESS CLUB & SPA","1ST REINSPECTION",2014-03-27 0:00:00,"S","PR",,8672,,"TANNING FACILITY",0,,"{44068707-38C5-4176-B307-9DF17921614C}",,266,
"27-8085","PLANET FITNESS - GREECE","1ST REINSPECTION",2014-03-28 0:00:00,"S","PR",,8673,,"TANNING FACILITY",0,,"{4FC63002-C473-4D4E-9023-2792F12349A5}",,266,
"27-0708","BROCKPORT INN","ANNUAL INSPECTION",2014-03-28 0:00:00,"S","PR",,8674,,"HOTEL/MOTEL",0,,"{2512EE1F-E1B2-47FC-BAD8-4D33D3B97C4B}",,266,
"27dcc89","LIVING WATERS CHILD CARE","2ND REINSPECTION",2014-03-28 0:00:00,"S","PR",,8675,,"DAY CARE CENTER",0,,"{261597D0-773A-4678-8893-2CAD726D0CCA}",,266,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","FIELD VISIT",2014-03-31 0:00:00,,"PR","FV wants to increase the capacity at the camp from 8 to 10.PR",8676,,"MIGRANT HOUSING",0,,"{15B025C5-E50A-492A-8B91-CD7CDBCFBC53}",,266,
"27dcc144","STORYBOOK #1/TOBEY ROAD","ANNUAL INSPECTION",2014-03-31 0:00:00,"U","PR",,8677,,"DAY CARE CENTER",0,,"{AFB8163C-948C-4788-A028-E45645628323}",,266,
"27dcc267","YMCA OF GREATER ROCHESTER ST. MARTIN LUTHERAN CHUR","ANNUAL INSPECTION",2014-04-01 0:00:00,"S","PR",,8678,,"DAY CARE CENTER",0,,"{391F612D-6A83-4860-B765-F2A56270F1DB}",,266,
"27-5192","MARTIN FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2014-04-01 0:00:00,"S","PR",,8679,,"MIGRANT HOUSING",0,,"{138A5D0E-36D5-4D67-BDE8-8D5B9D85FB75}",,266,
"27-6358","NORTHERN HEMISPHERE'S - ADVENTURE CAMP","PRE-OP INSPECTION",2014-07-01 0:00:00,"S","PR",,8891,,"CHILDREN'S DAY CAMP",0,,"{C317D151-6B8B-4BE2-8F4C-01DF6CD89F7D}",,266,
"27-8352","SPORTOPIA","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","PR",,8892,,"CHILDREN'S DAY CAMP",0,,"{3C02CB52-A189-436D-B774-AD4132345AF2}",,266,
"27-8325","CAMP LOCUST HILL","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","PR",,8893,,"CHILDREN'S DAY CAMP",0,,"{2C214E27-3F09-449D-92A7-40C2076C4FC4}",,266,
"27-7196","TOWN OF HENRIETTA - STAR PROGRAM","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","PR",,8894,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{AE7E9261-7064-462E-86F3-FE1127DB2C6E}",,266,
"27-7196a","TOWN OF HENRIETTA - SHINE PROGRAM JR/SR","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","PR",,8895,,"CHILDREN'S TRAVELING DAY CAMP",0,,"{A511C8B4-5CFB-4EB8-A186-FABBBF6176B2}",,266,
"27-7158","AMERICAN DIABETES ASSOC - CAMP ASPIRE","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","PR",,8896,,"CHILDREN'S OVERNIGHT CAMP",0,,"{A12B8096-B107-47CA-BB4C-9DC6DCC6FFC3}",,266,
"27-709a","Town of Brighton Rec/Parks - Council Rock","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8897,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{18DB8D7D-6B41-43C8-B1CD-D4601D849CAC}",,266,
"27-709d","Town of Brighton Rec/Parks - Brookside Early Bird","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8898,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{755932DA-CD46-498F-8D16-AFF1F96974C8}",,266,
"27-709b","Town of Brighton Rec/Parks - French Road","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8899,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{35883B35-9DE5-42E3-943A-E9B683582054}",,266,
"27-709f","Town of Brighton Rec/Parks - TCMS Camp","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8900,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{07E9AD10-6F99-46AC-A25A-7656C2F23DF8}",,266,
"27-709","Town of Brighton Rec/Parks - Pre School Playground","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8901,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{08CDEF22-3335-482C-B51B-8C44F02B654C}",,266,
"27-709c","Town of Brighton Rec/Parks - Brookside Playground","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8902,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{DFC5D483-0C4D-4FAC-A9B2-7D64ED25471D}",,266,
"27dcc291","CLOSE TO HOME CHILD CARE","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8903,,"DAY CARE CENTER",0,,"{A1B721E4-5967-4ECB-8C12-033EFCDA9EE8}",,266,
"27-5851","COMMUNITY LUTHERAN TRAVELING DAY CAMP","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8904,,"CHILDREN'S TRAVELING DAY CAMP",0,,"{D11D0B33-46C3-4601-B386-8CABA340A15F}",,266,
"27-5089","CAMP OPEN ARMS","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8905,,"CHILDREN'S DAY CAMP",0,,"{B12F8C6E-9EEB-4037-9F76-AA9FA4AD7DCF}",,267,
"27-7842","CITY OF ROCHESTER SPORTS CAMP","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8906,,"CHILDREN'S DAY CAMP",0,,"{2B38FA0C-B16E-476C-8D83-B05BC8595427}",,267,
"27-6485","VILLAGE SPORTS - SPORTS CAMP","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8907,,"CHILDREN'S DAY CAMP",0,,"{823F2A89-420F-46F3-A46B-D7AFBA887579}",,267,
"27-8046","VINEYARD CHURCH - SUMMER'S BEST","PRE-OP INSPECTION",2014-07-02 0:00:00,"S","ES",,8908,,"CHILDREN'S DAY CAMP",0,,"{4FBCEAF0-D7AE-4D77-B937-84A25DE3D75C}",,267,
"27-7855","R.I.T. LACROSSE CAMP","PRE-OP INSPECTION",2014-07-07 0:00:00,"S","PR",,8909,,"CHILDREN'S DAY CAMP",0,,"{36E6DBB1-ACF1-4014-BF87-E912CDDD9EFC}",,267,
"27-6485","VILLAGE SPORTS - SPORTS CAMP","PRE-OP INSPECTION",2014-07-03 0:00:00,"S","PR",,8910,,"CHILDREN'S DAY CAMP",0,,"{43C43DFD-3893-4216-902D-337D7F7E6739}",,267,
"27-1231","CAMP SMILE","PRE-OP INSPECTION",2014-07-07 0:00:00,"U","PR",,8911,,"CHILDREN'S DAY CAMP",0,,"{C15D47DB-7DDF-4D6F-BB27-36923DD89F29}",,267,
"27-7071","TOWN OF CHILI - GRADES 1-6","OPERATIONAL INSPECTION",2014-07-14 0:00:00,"S","PR",,1405361105,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{DF3FF29D-A6E1-48BB-846E-E4843914E9AA}",,267,
"27-7071a","TOWN OF CHILI - TEEN/NATURE CAMP","OPERATIONAL INSPECTION",2014-07-14 0:00:00,"S","PR",,-1984517698,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{7C14AA38-01FA-4960-B320-0F02E75CAF5B}",,267,
"27-7208","ALLENDALE COLUMBIA- DAY CAMP","OPERATIONAL INSPECTION",2014-07-14 0:00:00,"S","PR",,-1961063833,,"CHILDREN'S DAY CAMP",0,,"{D97F86F3-F21D-463C-9832-AF0C761A8730}",,267,
"27-8275","BEST WESTERN - THE INN AT ROCHESTER AIRPORT","2ND REINSPECTION",2014-07-14 0:00:00,"S","PR",,-283320804,,"HOTEL/MOTEL",0,,"{E4813322-3D65-4B4A-B9B3-DB6062E1E051}",,267,
"27dcc23","CHILD TIME/GARNSEY","1ST REINSPECTION",2014-07-15 0:00:00,"S","PR",,1405451132,,"DAY CARE CENTER",0,,"{C92E035B-DEA7-4BFB-A61C-99E1AF1FB264}",,267,
"27-6321","COMFORT INN WEST","PARTIAL INSPECTION",2012-04-26 0:00:00,"S","PR",,6971,,"HOTEL/MOTEL",,,"{8E4AA306-2DC3-471C-982D-8DA7DA35B791}",,267,
"27-4959","BRESLAWSKI MIGRANT LABOR CAMP","PRE-OP INSPECTION",2012-04-27 0:00:00,"S","PR","OK for Permit.PR",6972,,"MIGRANT HOUSING",,,"{DBFEEA0E-DEBF-4398-873E-AC3AF267ABF4}",,267,
"27-7362","TOTAL TAN/GREECE","1ST REINSPECTION",2012-04-27 0:00:00,"S","GR",,6973,,"TANNING FACILITY",,,"{71382AEB-9C9D-41D6-9BE7-3F5A23BAD2D7}",,267,
"27-7525","TANNING BED/LATTA RD.","1ST REINSPECTION",2012-04-27 0:00:00,"U","GR",,6974,,"TANNING FACILITY",,,"{8D134304-F92A-4A69-95EA-9622CD1C809D}",,267,
"27-5192","MARTIN FARMS MIGRANT LABOR CAMP","OPERATIONAL INSPECTION",2012-04-30 0:00:00,"S","GR",,6975,,"MIGRANT HOUSING",,,"{E3FF995D-EEC8-40FD-BB28-AAD5669658FE}",,267,
"27-7323","SHARP CUTS","1ST REINSPECTION",2012-04-30 0:00:00,"S","GR",,6976,,"TANNING FACILITY",,,"{65DB7AC6-FD9F-464B-BD0F-1A67BBC679BF}",,267,
"27-5180","LaQUINTA INN","PARTIAL INSPECTION",2012-04-30 0:00:00,"S","PR",,6977,,"HOTEL/MOTEL",,,"{A80D1DA8-2CFC-4588-A8CF-C46624BDC8AD}",,267,
"27-7133","RAJ TANNING LLC","PARTIAL INSPECTION",2012-05-01 0:00:00,"S","PR",,6978,,"TANNING FACILITY",,,"{3C4ACBE4-335F-4310-B227-650D8F23BC12}",,267,
"27DCC71","JCC DAY CARE","ANNUAL INSPECTION",2012-05-02 0:00:00,"S","GR",,6979,,"DAY CARE CENTER",,,"{53C39902-129B-42E3-847E-C834E4E0980A}",,267,
"27DCC223","JCC SCHOOL AGE PROGRAM","ANNUAL INSPECTION",2012-05-02 0:00:00,"U","GR",,6980,,"SCHOOL AGE",,,"{D8A4052F-FA4B-492F-A744-A2C956E839E1}",,267,
"27-7549","TANNING BED/BROCKPORT","OPERATIONAL INSPECTION",2012-05-02 0:00:00,"S","GR",,6981,,"TANNING FACILITY",,,"{DDD97025-A981-49B9-AFFC-F41C8CB120C6}",,267,
"27-7576","TANNING BED/MOSELY RD.","OPERATIONAL INSPECTION",2012-05-03 0:00:00,"S","GR",,6982,,"TANNING FACILITY",,,"{CCE19906-9A9E-415D-8371-5AF142D25884}",,267,
"27DCC42","CREATIVE KIDS CHILDCARE","ANNUAL INSPECTION",2012-05-03 0:00:00,"S","GR",,6983,,"DAY CARE CENTER",,,"{DAC23FDF-49C2-4913-9BB0-D60048C20658}",,267,
"27-7398","S&S FITNESS","PARTIAL INSPECTION",2012-05-03 0:00:00,"S","PR",,6984,,"TANNING FACILITY",,,"{5C3E0BB7-BB47-4674-8BCB-D7CFCABC8A98}",,267,
"27DCC85","LAKESIDE CHURCH CHILD DEVELOPMENT","ANNUAL INSPECTION",2012-05-04 0:00:00,"S","GR",,6985,,"DAY CARE CENTER",,,"{6877545F-9F13-4051-ACEA-C4860D6548A6}",,267,
"27-6891","HAMPTON INN - IRONDEQUOIT","ANNUAL INSPECTION",2012-05-04 0:00:00,"U","GR",,6986,,"HOTEL/MOTEL",,,"{1C5F3F2E-4AAA-4DB9-A01C-58CF2529FF41}",,267,
"27-7501","GOLDEN TANS/WEBSTER","1ST REINSPECTION",2012-05-04 0:00:00,"S","GR",,6987,,"TANNING FACILITY",,,"{B6F980D3-7B26-41FD-8832-09505B212312}",,267,
"27-3274","BROCKPORT ECONOLODGE","PARTIAL INSPECTION",2012-05-04 0:00:00,"S","PR",,6988,,"HOTEL/MOTEL",,,"{A55DE9EF-722B-4B27-AB32-26F1B0229863}",,267,
"27DCC238","KIDDIE KOLLEGE - CLARKSON","ANNUAL INSPECTION",2012-05-07 0:00:00,"S","GR",,6989,,"DAY CARE CENTER",,,"{78A11EAE-00B7-4F2A-A784-229BBED43B3E}",,267,
"27DCC132","SCHOOLHOUSE OF BROCKPORT","ANNUAL INSPECTION",2012-05-07 0:00:00,"S","GR",,6990,,"DAY CARE CENTER",,,"{7B863173-B7F8-48FC-B940-F08263AB1F39}",,267,
"27-0835","FOREST LAWN MOBILE HOME PARK","PARTIAL INSPECTION",2012-05-07 0:00:00,"U","PR","See file. Advised to shut off water to the trailer since the T/Penfiled has posted as ""do not occupy"".PR",6991,,"MOBILE HOME PARK",,,"{BF0485D4-C8ED-467C-A3B8-5A671371B708}",,267,
"27-7552","TANNING BED/E. HEN. RD.","PARTIAL INSPECTION",2012-05-07 0:00:00,"U","PR",,6992,,"TANNING FACILITY",,,"{2E6A5093-C4BD-48CD-AB4D-644FA7DB1FF6}",,267,
"27DCC140","ST. JOHN'S NURSERY SCHOOL","FIELD VISIT",2012-05-08 0:00:00,"S","GR","This facility is CLOSED",6993,,"NURSERY SCHOOL",,,"{BE477E4E-1A8F-4A76-9537-827256260B85}",,267,
"27-5899","THE WEBSTER LODGE - SUPER 8 MOTEL","ANNUAL INSPECTION",2012-05-08 0:00:00,"S","PR",,6994,,"HOTEL/MOTEL",,,"{0BEE4FD6-DD82-47C8-A350-C5E6E2BBE977}",,267,
"27DCC99","NEW BORN FELLOWSHIP DAY CARE","1ST REINSPECTION",2012-05-09 0:00:00,"S","GR",,6995,,"DAY CARE CENTER",,,"{24D6DCBA-4299-4794-8328-D7D3880E1BCB}",,267,
"27DCC59","HEADSTART - HUDSON","ANNUAL INSPECTION",2012-05-09 0:00:00,"S","GR",,6996,,"DAY CARE & AFTER SCHOOL",,,"{40EAFB55-EF50-4569-AF2E-6CE1A603FC3B}",,267,
"27DCC95","MENDON CHILD CARE","ANNUAL INSPECTION",2012-05-09 0:00:00,"S","GR",,6997,,"DAY CARE CENTER",,,"{D4D4DDB2-CB52-42C5-8C70-E2C23413B3CF}",,267,
"27DCC110","PARK RIDGE CHILD CARE CENTER","ANNUAL INSPECTION",2012-05-10 0:00:00,"S","GR",,6998,,"DAY CARE CENTER",,,"{09CFA229-2CE7-4684-A49D-AED1167DA3F1}",,267,
"27-6574","BRIGHTLY FARMS FARMWORKER HOUSING","OPERATIONAL INSPECTION",2012-05-10 0:00:00,"S","GR",,6999,,"MIGRANT HOUSING",,,"{F320D6F4-05FA-45ED-9A62-FD89BB2C7A64}",,267,
"27-7564","TANNING BED/BRIGHTON","PARTIAL INSPECTION",2012-05-10 0:00:00,"U","PR",,7000,,"TANNING FACILITY",,,"{2F245A94-1440-4FA0-B81C-933F36E87C6B}",,267,
"27DCC138","ST. JOHN FISHER COLLEGE","ANNUAL INSPECTION",2012-05-11 0:00:00,"S","GR",,7001,,"DAY CARE CENTER",,,"{D9DD0693-5E44-47B7-988B-383310E76BA6}",,267,
"27-7234","TOWN OF WEBSTER - GRADES 4 & 5 with 6 & 7 Wrap CAM","ANNUAL INSPECTION",2012-07-25 0:00:00,"S","PR",,7251,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{5DA7EABE-AA0E-4B6E-AAAA-AB6D8D3B9735}",,267,
"27dcc248","GENTLE TOUCH DAY CARE","PRE-OP INSPECTION",2012-07-25 0:00:00,"S","PR","Needed to conduct another pre-op as requested by OCFS due to the lapse in time from the previous pre-op to the new opening date.PR",7252,,"DAY CARE CENTER",,,"{FE323015-F99A-4D65-906A-089A234A2060}",,267,
"27-1155","YMCA  CAMP NORTHPOINT","ANNUAL INSPECTION",2012-07-25 0:00:00,"S","PR",,7253,,"CHILDREN'S DAY CAMP",,,"{8B55F811-5666-496F-BB6A-1DA97A3DEBB0}",,267,
"27-7828b","TOWN OF GATES - MEMORIAL PARK","ANNUAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7254,,"CHILDREN'S DAY CAMP",,,"{8F28AF9A-3781-4644-A53D-76305DAB2896}",,267,
"27-7828c","TOWN OF GATES - LIONS PARK","ANNUAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7255,,"CHILDREN'S DAY CAMP",,,"{6F7080B0-3BD4-48E2-A1C5-9CDFE53E347B}",,267,
"27-7828","TOWN OF GATES - WASHINGTON","ANNUAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7256,,"CHILDREN'S DAY CAMP",,,"{4DCD4C43-DE3E-41A2-9F93-CFA8C93BC413}",,267,
"27-7828a","TOWN OF GATES CAMPS - WALT DISNEY SCHOOL","ANNUAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7257,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{4B226281-0352-497D-8A22-57A26D187D45}",,267,
"27-7196a","TOWN OF HENRIETTA - SHINE PROGRAM JR/SR","ANNUAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7258,,"CHILDREN'S TRAVELING DAY CAMP",,,"{48A3A40D-67DD-4767-A1C4-6F649965864E}",,267,
"27-5533","LaQUINTA INN","PARTIAL INSPECTION",2012-07-26 0:00:00,"U","PR",,7259,,"HOTEL/MOTEL",,,"{C9920215-268D-48DC-B0BF-3C212D3CCB6E}",,267,
"27-3197","DAYS INN - HENRIETTA","PARTIAL INSPECTION",2012-07-26 0:00:00,"S","PR",,7260,,"HOTEL/MOTEL",,,"{0376254E-43E7-44C5-AD05-7DCE05D5B48F}",,267,
"27-7121","CONROW #2 MIGRANT FARMWORKER HOUSING","PRE-OP INSPECTION",2012-07-27 0:00:00,"S","PR",,7261,,"MIGRANT HOUSING",,,"{BAC3A052-E5B3-49E9-AA3D-CFCA7C54630C}",,267,
"27-6117","CONROW MIGRANT FARMWORKER CAMP","PRE-OP INSPECTION",2012-07-27 0:00:00,"S","PR",,7262,,"MIGRANT HOUSING",,,"{696F631C-44DD-43B6-8FF6-D6B5B032F5A3}",,267,
"27-6547","SODOMA FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2012-07-27 0:00:00,"S","PR",,7263,,"MIGRANT HOUSING",,,"{D3547729-9132-4408-8D29-AFED128F0AA5}",,267,
"27-7828d","TOWN OF GATES -WESTGATE PARK","ANNUAL INSPECTION",2012-07-27 0:00:00,"U","PR",,7264,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{9C78E5A8-3792-442E-8DAB-6919BCBFE036}",,267,
"27-6939","TOWN OF HAMLIN CAMP","ANNUAL INSPECTION",2012-07-30 0:00:00,"S","GR",,7265,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{8BF84097-DF6F-4159-92FA-DE8D863D438A}",,267,
"27-4959","BRESLAWSKI MIGRANT LABOR CAMP","PARTIAL INSPECTION",2012-07-30 0:00:00,"U","GR",,7266,,"MIGRANT HOUSING",,,"{3882A735-68B1-4B73-816A-8127EE5BB5EC}",,267,
"27-709","Town of Brighton Rec/Parks - Toddlers & Waddlers","ANNUAL INSPECTION",2012-07-31 0:00:00,"S","GR",,7267,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{32F0611E-4BA7-4E41-AC58-D5B3A50572A5}",,267,
"27-709b","Town of Brighton Rec/Parks - French Road","ANNUAL INSPECTION",2012-07-31 0:00:00,"S","GR",,7268,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{C0BCCC37-28D4-4B50-BB7B-397362ACB243}",,267,
"27-709f","Town of Brighton Rec/Parks - TCMS Camp","ANNUAL INSPECTION",2012-07-31 0:00:00,"S","GR",,7269,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{4C3EEBD1-FEC3-4D66-8566-383902CEFF0E}",,267,
"27-6550","SWEDEN/CLARKSON REC PLAYGROUND","1ST REINSPECTION",2012-07-31 0:00:00,"S","GR",,7270,,"CHILDREN'S MUNICIPAL DAY CAMP",,,"{D2031F1D-9B87-4A02-8C7D-027F09913BDD}",,267,
"27DCC80","KIDS FIRST CHILD CARE","ANNUAL INSPECTION",2012-08-01 0:00:00,"S","GR",,7271,,"DAY CARE CENTER",,,"{147E2A48-A939-41ED-9FFC-56FA128275FA}",,267,
