"CHURCH NUMBER","CHURCH NAME","ADDRESS","CITY","ZIPCODE","ISSUE DATE","EXPIRATION DATE","s_ColLineage","s_Generation","s_GUID","s_Lineage"
37,"GREECE UNITED METHODIST CHURCH (see church #203)","1924 MAIDEN LANE","ROCHESTER, NY",14626,,,,1,"{29FC0AE3-8D53-401B-9B72-9CB7A8E44B73}",
38,"BROCKPORT UNITED METHODIST CHURCH","92 MAIN STREET, PO BOX 247","BROCKPORT, NY",14420,2016-04-29 0:00:00,2018-04-29 0:00:00,,17642,"{AED5BEA4-D324-4FEE-A366-FE84B31ABBE9}",
39,"TRINITY SOUTH EMANUEL UNITED CHURCH OF CHRIST","1095 EAST HENRIETTA ROAD","ROCHESTER, NY",14623,,,,1,"{95DF6673-B9EB-4F44-BF20-1F75F91E5F33}",
40,"SOUTH PRESBYTERIAN CHURCH","4 EAST HENRIETTA ROAD","ROCHESTER, NY",14620,,,,1,"{9BFAA5F5-08AA-4A27-AD73-2659CF5B07AF}",
265,"FIRST BAPTIST CHURCH","119 W. ELM STREET","EAST ROCHESTER, NY",14445,2016-01-21 0:00:00,2018-01-21 0:00:00,,17565,"{F21AA0CF-34EF-4ED1-9590-BE14C1095E81}",
266,"MESSIAH LUTHERAN CHURCH","4301 MT. READ BLVD.","ROCHESTER, NY",14616,2017-11-02 0:00:00,2019-11-02 0:00:00,,0,"{5F418F90-967E-403B-9E62-23D420088419}",
267,"CENTRAL CHURCH OF CHRIST","101 S. PLYMOUTH AVENUE","ROCHESTER, NY",14608,2013-11-22 0:00:00,2015-11-22 0:00:00,,10690,"{0F14D6EE-7DB4-41C3-883A-904FDB150029}",
268,"RAYSON-MILLER POST #899","21 N. MAIN STREET","PITTSFORD, NY",14534,2016-12-29 0:00:00,2018-12-29 0:00:00,,17944,"{9E0AFF29-2CBD-4760-85CD-887B6B186414}",
269,"PRINCE OF PEACE EVANGELICAL LUTHERAN CHURCH","6020 PITTSFORD-PALMYRA RD.","FAIRPORT, NY",14450,2014-06-17 0:00:00,2016-06-17 0:00:00,,13670,"{B6B2C8A3-E651-4F52-AA94-309C25FAB856}",
270,"ANNUNCIATION CHURCH","1754 NORTON ST.","ROCHESTER, NY",14609,2017-02-27 0:00:00,2019-02-27 0:00:00,,17944,"{F30ED7E6-31E6-48E8-8591-C6C0B868E132}",
271,"OUR LADY OF THE AMERICAS","864 E. MAIN ST.","ROCHESTER, NY",14605,2017-02-27 0:00:00,2019-02-27 0:00:00,,17944,"{9ED47B61-9A91-4A6A-BBCC-2ED5E9CAADBA}",
272,"CHURCH OF LOVE FAITH CENTER","700 EXCHANGE ST.","ROCHESTER, NY",14608,2014-11-25 0:00:00,2016-11-25 0:00:00,,14829,"{AC0C89EE-12AF-49F9-A3D2-807E92100A33}",
273,"CHABAD OF PITTSFORD","21 LINCOLN AVE.","PITTSFORD, NY",14534,2017-06-23 0:00:00,2019-06-23 0:00:00,,18068,"{CF36E223-C4A9-4802-81E0-9A140B115192}",
274,"IGLESIA JEHOVA JIREH","1062 CLINTON AVE.","ROCHESTER, NY",14621,2017-07-18 0:00:00,2019-07-18 0:00:00,,18068,"{3116A275-055F-4DB0-8880-02438A59FC99}",
275,"COMMUNITY CHRISTIAN CHURCH","2647 CHILI AVE.","ROCHESTER, NY",14624,2017-09-12 0:00:00,2019-09-12 0:00:00,,18068,"{067711EC-6452-4DF8-8B25-ED9078CABDB5}",
276,"ST. PETER'S EPISCOPAL CHURCH","3825 EAST HENRIETTA RD.","HENRIETTA, NY",14467,2015-10-22 0:00:00,2017-10-22 0:00:00,,17140,"{07BA87CF-1E7B-49BE-86E8-7BAF66BBD27E}",
277,"WESLEY UNITED METHODIST CHURCH","2009 DEWEY AVE.","ROCHESTER, NY",14615,2015-11-18 0:00:00,2017-11-18 0:00:00,,17240,"{A734CA8F-9105-49A7-B679-D1F01D9F6C5C}",
278,"THE WAY OF HOLINESS CHURCH","2060 LONG POND ROAD, PO BOX 16189","ROCHESTER, NY",14616,2016-04-04 0:00:00,2018-04-04 0:00:00,,17634,"{3E13FECF-00F6-44CA-AED5-1EAF8140BF22}",
279,"PETRA CHRISTIAN FELLOWSHIP","72 THURSTON ROAD","ROCHESTER, NY",14619,2016-06-02 0:00:00,2018-06-02 0:00:00,,17695,"{4F689EE9-52A5-42E3-A830-85ED3B7DAF4E}",
280,"LIGHTHOUSE BIBLE BAPTIST CHURCH","48 SOUTH ESTATE DR.","WEBSTER, NY",14580,2016-06-22 0:00:00,2018-06-22 0:00:00,,17727,"{85B79E58-9FA5-4D8E-8D1F-5CD1AAD09406}",
281,"PEACE OF CHRIST ST. JOHN THE EVANGELIST CHURCH","553 HUMBOLDT ST.","ROCHESTER, NY",14610,2016-11-23 0:00:00,2018-11-23 0:00:00,,17944,"{AA6232AC-34C7-445C-9D12-2F1DB80CCBDE}",
282,"NEW COVENANT FELLOWSHIP","1350 FIVE MILE LINE RD.","PENFIELD, NY",14526,2017-03-30 0:00:00,2019-03-30 0:00:00,,17962,"{F962F436-70E8-4BDE-971F-9BA7AFE94120}",
283,"HIGHER GROUND CHURCH OF GOD OF PROPHECY","1074 PORTLAND AVE.","ROCHESTER, NY",14621,2017-07-14 0:00:00,2019-07-14 0:00:00,,18068,"{A94C5359-D51F-4EBD-9F5C-3549E751B92D}",
284,"UNITY CHURCH OF GREATER ROCHESTER","55 PRINCE ST.","ROCHESTER, NY",14607,2017-07-17 0:00:00,2019-07-17 0:00:00,,18068,"{190FF8AC-2690-437F-8856-29AB33994DE7}",
