"FAC.","FACILITY_NAME","FACILITY_ADDRESS","CITY","FAC_ZIP","FAC_TYPE.","FAC_TYPE","ACTIVE","PHONE_NO","CITY_TOWN","OPERATOR_OWNER","OPERATOR_ADDRESS","OPERATOR_CITY","OPER_ZIP","EMAIL_1","EMAIL_2","EIN_SS.","CONTACT","OPER_PHONE","PERMIT FAC_TYPE","CAPACITY","SESSIONS","FEE","OPEN_DATE","CLOSE_DATE","APPL_DATE","WC/DB REC"D","PRESEASON","PRE_COMMENT","PERMIT","OPER_INSP","OPER_COMMENT","INSPR","OPER_REIN","OPER_REINCOMMENT","2ND_REIN","2ND_REINCOMMENT","PARTIAL_INSP","FEE PAID","DATE_PAID","HEARING_DATE","DOH-3965","DOH-367","DOH-2271","LDSS-3370","DSS ANS","MANUAL OK","MANUAL UPDATE","COMMENTS","Pre-Op Status","FIRST AID CERTIFICATIONS RECEIVED","LIFEGUARD/PSI CERTIFICATIONS","FOOD SERVICE","COUNSELOR TO CAMPER RATIO","EMAIL CONTACT","CAMP DIRECTOR","HEALTH DIRECTOR","AQUATICS DIRECTOR","CPR CERT","POOL OPERATOR","AQUATICS DIR REQUIRED","AQUATICS DIRECTOR CERTS","Reviewed By","APP SENT","OPERATION ID","AMUSEMENT DEVICES FORM","COVERED AMUSEMENT DEVICES","Gen_COMMENTS","s_GUID","Aen_COMMENTS","SAFETY PLAN DISABILITY ADN"
"27-7828a","TOWN OF GATES - WALT DISNEY SCHOOL","175 COLDWATER ROAD","ROCHESTER, NY 14464",14624.00,14.00,"CHILDREN'S CAMP","Yes","5852476100","GATES","TOWN OF GATES RECREATION DEPT.","1605 BUFFALO RD.","ROCHESTER, NY","14624",,,,"CINDY BRIGGS","5852476100","CHILDREN'S DAY CAMP",40.00,,$0.00,,,,0,,,,,,"SH",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Gates CSD",0,"CBRIGGS@TOWNOFGATES.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{A59EAEB6-4972-4A21-BDBA-4A96A59B4AEC}",1366,0
"27-7828b","TOWN OF GATES - MEMORIAL PARK","160 SPENCERPORT RD.","ROCHESTER, NY 14624",14624.00,14.00,"CHILDREN'S CAMP","YES","5852476100","GATES","TOWN OF GATES RECREATION DEPT.","1605 BUFFALO RD.","ROCHESTER, NY","14624",,,,"CINDY BRIGGS","5852476100","CHILDREN'S DAY CAMP",70.00,,$0.00,,,,0,,,,,,"SH",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Gates CSD",0,"CBRIGGS@TOWNOFGATES.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{FFA007AC-B4F3-4AB8-9E18-30AAF2C586AF}",1376,0
"27-7828c","TOWN OF GATES - LIONS","100 KENTUCKY AVE.","ROCHESTER, NY 14624",14624.00,14.00,"CHILDREN'S CAMP","Yes","5852476100","GATES","TOWN OF GATES RECREATION DEPT.","1605 BUFFALO RD.","ROCHESTER, NY","14624",,,,"CINDY BRIGGS","5852476100","CHILDREN'S DAY CAMP",80.00,,$0.00,,,,0,,,,,,"SH",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Gates CSD",0,"CBRIGGS@TOWNOFGATES.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{7ED23275-AED5-483E-90D9-81C796E092B4}",1376,0
"27-7828d","TOWN OF GATES - WESTGATE","1489 HOWARD RD","ROCHESTER, NY  14624",14464.00,14.00,"CHILDREN'S CAMP","Yes","5852476100","GATES","TOWN OF GATES RECREATION DEPT.","1605 BUFFALO ROAD","ROCHESTER, NY","14624",,,,"CINDY BRIGGS","5852476100","CHILDREN'S MUNICIPAL DAY CAMP",80.00,,$0.00,,,,0,,,,,,"SH",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Gates CSD",0,"CBRIGGS@TOWNOFGATES.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{8A1C8186-C2F8-4562-976F-27FC9A2339EA}",1366,0
"27-7828e","TOWN OF GATES - GERMAN FEDERATION","160 SPENCERPORT RD","ROCHESTER, NY 14606",14624.00,14.00,"CHILDREN'S CAMP","Yes","5852476100","GATES","TOWN OF GATES RECREATION DEPT.","1605 BUFFALO RD.","ROCHESTER, NY","14624",,,,"CINDY BRIGGS","5852476100","CHILDREN'S DAY CAMP",30.00,,$0.00,,,,0,,,,,,"SH",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Gates CSD",0,"CBRIGGS@TOWNOFGATES.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,,"{760BCAA6-61B3-4376-8AC0-3B42F2CDF711}",,0
"27-7842","CITY OF ROCHESTER SPORTS CAMP","1316 GENESEE STREET EXTENSION","ROCHESTER, NY 14619",14619.00,16.00,"CHILDREN'S CAMP","YES","5852023394","ROCHESTER","CITY OF ROCHESTER DEPT. OF RECREATION","400 DEWEY AVENUE","ROCHESTER, NY","14613",,,,"LEMUEL ROGERS","5852023394","CHILDREN'S DAY CAMP",45.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Summer Lunch Program",0,"JONESC@CITY OF ROCHESTER.GOV/ lemuel906@gmail.com",,,,0,"City of Rochester","No",0,"WS",,,0,0,1,"{8CEDA39E-4FB1-46FD-AE37-43EBC53D02E5}",1389,0
"27-7917","EXPRESS YOURSELF ACADEMY","191 BAY STREET","ROCHESTER, NY 14605",14605.00,,"CHILDREN'S CAMP","YES","5854828622","ROCHESTER","ST. PHILLIP COMMUNITY DEVELOPMENT","191 BAY STREET","ROCHESTER, NY","14605",,,,"ELLIS HARRIS","5854828622","CHILDREN'S TRAVELING DAY CAMP",160.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Food Link",0,"PASTOREDHARRIS@YAHOO.COM",,,,0,"No Swimming","No",0,"ES",,,0,0,1,"{ACE3034D-9603-4334-9ACC-AB0CA6B98EC5}",1246,0
"27-8046","VINEYARD CHURCH - SUMMER'S BEST","2150 PORTLAND AVENUE","ROCHESTER, NY",14622.00,,"CHILDREN'S CAMP","Yes","5857502749","IRONDEQUOIT","VINEYARD CHURCH OF IRONDEQUOIT","2150 PORTLAND AVENUE","ROCHESTER, NY","14622",,,,"WILLIAM LYDON",,"CHILDREN'S DAY CAMP",80.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"BLYDON14622@YAHOO.COM",,,,0,,"No",0,"ES",,,0,0,1,"{59E52B80-EF06-4B80-BDEC-0C53C8688B01}",1385,0
"27-8097","HFL SUMMER RECREATION CAMP","83 EAST STREET","HONEOYE FALLS, NY",14472.00,,"CHILDREN'S CAMP","YES","5856247068","HONEOYE FALLS","Honeoye Falls-Lima Central School","83 East Street","Honeoye Falls, NY","14472",,,,"Ari Freedman-Weiss","5856247068","CHILDREN'S DAY CAMP",300.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"HFL Schools/Also Bring Lunch",0,"Ari.Freedman@HFLCSD.org",,,,0,"HFL CSD","No",0,"ES",,,0,0,1,"{319A43CB-38BA-4298-952C-1C3118E8E680}",1331,0
"27-8325","CAMP LOCUST HILL","2000 JEFFERSON RD","PITTSFORD, NY 14534",14534.00,,"CHILDREN'S CAMP","Yes","8776712267","PITTSFORD","KE CAMPS","821 EXECUTIVE DRIVE","PRINCETON, NJ","08540",,,,"ASHLEY SCHMITZ","8776712267","CHILDREN'S DAY CAMP",20.00,,$200.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Locust Hill",0,"Ashley@KECamps.com",,,,0,"Locust Hill","Yes",0,"WS",,,0,0,1,"{C7FB8061-3855-48AC-9313-6368649F1A93}",1373,0
"27-8390","RIT- KIDS ON CAMPUS","12 LOMB MEMORIAL DRIVE","ROCHESTER, NY 14623",14623.00,,"CHILDREN'S CAMP","YES","5854752566","HENRIETTA","ROCHESTER INSTITUTE OF TECHNOLOGY","1 LOMB MEMORIAL DRIVE","ROCHESTER, NY 14623","14623",,,,"DONNA BURNETTE","5854752566","CHILDREN'S DAY CAMP",250.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"RIT",0,"DABK12@RIT.EDU",,,,0,"RIT","No",0,"LH",,,0,0,1,"{2ED8FCBE-2768-4BEE-9A44-3FF91A92C9C9}",1331,0
"27-8438","CAMP HERITAGE","809 FIVE POINTS ROAD","RUSH, NY 14543",14543.00,,"CHILDREN'S CAMP","Yes","5852037229","RUSH","HERITAGE CHRISTIAN SERVICES","349 WEST COMMERCIAL ST, Suite 2795","EAST ROCHESTER, NY","14445",,,,"KRISTIN KRAMER","5852037229","DAY CAMP - DEVELOPMENTALLY DISABLED",20.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"ROTARY",0,"KJKRAMER@HERITAGECHRISTIANSERVICES.ORG",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"LH",,,0,0,186,"{1F4E0CE3-BBE0-4447-9C57-7BD63210E9D9}",1334,0
"27-8578","SRI VIDYA TEMPLE CAMP","6980 EAST RIVER ROAD","RUSH, NY 14543",14543.00,,"CHILDREN'S CAMP","YES","3153723384","RUSH","SRI VIDYA TEMPLE SOCIETY","6980 EAST RIVER ROAD","RUSH, NY","14543",,,,"KK NATARAJAN","3153723384","CHILDREN'S OVERNIGHT CAMP",80.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Sri Vidya Temple - FSE",0,"KKNATARAJAN1@YAHOO.COM/info@srividya.org",,,,0,"No Swimming","No",0,"ES",,,0,0,,"{F557B683-1CC7-4EB2-ABFB-7ACABA7FC98F}",1264,0
"27-8580","VOA CAMP HEROES","809 FIVE POINTS ROAD","RUSH, NY  14543",14543.00,,"CHILDREN'S OVERNIGHT CAMP","YES",,"RUSH","VOLUNTEERS OF AMERICA WNY INC","214 LAKE AVENUE","ROCHESTER","14608",,,,"ROB STEDMAN","5856471344","CHILDREN'S OVERNIGHT CAMP",44.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rotary",0,"RSTEDMAN@VOAUPNY.ORG",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"LH",,,0,0,,"{6CB7B494-9A94-4DA8-A4A6-E9FF835A6E40}",1396,0
"27-8604","IREVA VOLLEYBALL CAMP","350 NEW CAMPUS DRIVE","BROCKPORT, NY 14420",14420.00,,"CHILDREN'S CAMP","YES","5854721989","BROCKPORT","IROQUOIS EMPIRE VOLLEYBALL ASSOCIATION","590 MULLOCK RD","PORT JERVIS, NY","12771",,,,"SUE MEDLEY","8453558527","CHILDREN'S OVERNIGHT CAMP",90.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"SUNY BROCKPORT",0,"S.MEDLEY@ATT.NET",,,,0,"SUNY BROCKPORT","No",0,"WS",,,0,0,,"{70DA16BE-AB11-403C-938B-7BA4CC03DFBD}",1295,0
"27-8628","ROB KOLL'S CORNELL BRAND WRESTLING CAMPS","350 NEW CAMPUS DRIVE","BROCKPORT, NY 14420",14420.00,,"CHILDREN'S CAMP","YES","6072803640","BROCKPORT","ROB KOLL WRESTLING CAMPS LLC","33 WATERVIEW HEIGHTS RD","ITHACA, NY","14850",,,,"RACHEL KOLL","6072556793","CHILDREN'S OVERNIGHT CAMP",200.00,,$200.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"SUNY BROCKPORT",0,"KOLLUNTRAUER@AOL.COM",,,,0,"No Swimming",,0,"WS",,,0,0,,"{C7FDC73C-92DE-458E-8305-ECB5C9E6B045}",1264,0
"27-8630","CITY OF ROCHESTER ARTSMART","COBBS HILL PARK, 100 NORRIS DRIVE","ROCHESTER, NY 14610",14610.00,,"CHILDREN'S CAMP","YES","5852020714","ROCHESTER","CITY OF ROCHESTER DEPT OF RECREATION","400 DEWEY AVENUE","ROCHESTER","14613",,,,"CARMEN JONES","5852020714","CHILDREN'S MUNICIPAL DAY CAMP",70.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Summer Lunch Program",0,"JONESC@CITYOFROCHESTER.GOV",,,,0,"City of Rochester","No",0,"WS",,,0,0,,"{B045D6F2-AC0A-42BC-AB53-6C0849DD563E}",1385,0
"27-8655","YMCA CAMP NORTHWEST","730 LONG POND ROAD","ROCHESTER, NY 14612",14612.00,,"CHILDREN'S CAMP","yes","5852596356","GREECE","NORTHWEST FAMILY YMCA","730 LONG POND ROAD","ROCHESTER","14612",,,,"KYLE CHRISTIAN",,"CHILDREN'S DAY CAMP",30.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"Kyle.Christian@RochesterYMCA.org",,,,0,"YMCA","No",0,"ES",,,0,0,,"{F9565A5C-B8CB-4016-9B86-186B32C1BE39}",1215,0
"27-8729","TOWN OF IRONDEQUOIT PLAYGOUND - DURAND","95 POINT PLEASANT RD","ROCHESTER, NY  14622",14622.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","(585) 336-6070","CHILDREN'S MUNICIPAL DAY CAMP",75.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,,"{D4BD18A0-B954-4A55-BE39-277B553D4B38}",,0
"27-8729a","TOWN OF IRONDEQUOIT PLAYGROUND - COLEBROOK","210 COLEBROOK DR","ROCHESTER, NY  14617",14617.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","(585) 336-6070","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,,"{C77A8590-38F4-4B54-A73A-3D965672A13D}",,0
"27-8729b","TOWN OF IRONDEQUOIT PLAYGROUND - ROGERS","219 NORTHFIELD RD","ROCHESTER, NY  14617",14609.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","(585) 336-6070","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,,"{A53865E5-7AB3-403E-B54D-CDAC82F21B8B}",,0
"27-8729c","TOWN OF IRONDEQUOIT  PLAYGROUND - LAURELTON PARDEE","600 PARDEE RD","ROCHESTER, NY  14609",14617.00,14.00,"CHILDREN'S CAMP","Yes","585 - 336 - 6070","IRONDEQUOIT","IRONDEQUOIT REC DEPT","154 PINEGROVE AVE","ROCHESTER, N Y","14617",,,"166002287","MEGAN HOFFMAN","(585) 336-6070","CHILDREN'S MUNICIPAL DAY CAMP",150.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"mhoffman@irondequoit.org",,,,0,"West Irondequoit H.S. Pool","No",0,"LH",,,0,0,,"{0C41CA21-F1A4-4E70-AF42-E287A7E9F591}",,0
"27-8731","YMCA  MONROE CAMP","797 MONROE AVE","ROCHESTER, NY 14607",14607.00,16.00,"CHILDREN'S CAMP","YES","5852715323","ROCHESTER","YMCA OF GREATER ROCHESTER MONROE","797 MONROE AVE","ROCHESTER, NY","14607",,,,"ASHLEY RYAN","5852715323","CHILDREN'S DAY CAMP",40.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"ASHLEY.RYAN@rochesterymca.org",,,,0,"Monroe YMCA",,0,"LH",,,0,0,,"{05B49FC8-3595-4D2F-B675-047FF9844811}",,0
"27-8832","SLOVAK CATHOLIC SOKOL CHILDREN CAMP","SUNY BROCKPORT CAMPUS","BROCKPORT, NY 14420",14420.00,,"CHILDREN'S CAMP","Yes","3306072477","BROCKPORT","SLOVAK CATHOLIC SOKOL","30629 MAPLE DR","BAY VILLAGE, OH","44140",,,,"JOHN UNDERATION","3036072477","CHILDREN'S OVERNIGHT CAMP",192.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"SUNY BROCKPORT",0,"JUNDERATION@SBCGLOBAL.NET",,,,0,"NO SWIMMING","No",0,"WS",,,0,0,,"{B41B318A-867D-4C18-97FF-DDFF53602E5F}",,0
"27-8869","NIKE SWIM CAMP @ NAZARETH COLLEGE","4245 EAST AVENUE","ROCHESTER, NY 14618",14618.00,,"CHILDREN'S CAMP","YES","5853892189","PITTSFORD","US SPORTS CAMPS, INC","1010 B STREET, SUTIE 450","SAN RAFAEL, CA","94901",,,,"SCOTT WHITBECK","5853892189","CHILDREN'S OVERNIGHT CAMP",50.00,,$200.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"NAZARETH",0,"SWHITBE9@NAZ.EDU",,,,0,"NAZARETH COLLEGE","Yes",0,"LH",,,0,0,,"{16862816-5E12-4A55-99E4-1F3EDE2A86EE}",,0
"27-8895","CITY OF ROCHESTER - LAGRANGE","455 LAGRANGE AVE","ROCHESTER, NY 14615",14615.00,16.00,"CHILDREN'S CAMP","YES","5854287639","ROCHESTER","CITY OF ROCHESTER DEPT OF RECREATION","400 DEWEY AVENUE","ROCHESTER","14613",,,,"CARMEN JONES","5852020714","CHILDREN'S MUNICIPAL DAY CAMP",45.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Summer Lunch Program",0,"JONESC@CITYOFROCHESTER.GOV",,,,0,"City of Rochester","No",0,"WS",,,0,0,,"{E66D929C-3D2D-46E0-B151-0ACCA4BC895E}",,0
"27-8907","TENNIS CLUB OF ROCHESTER","570 KREAG RD","PITTSFORD, NY 14534",14534.00,,"CHILDREN'S CAMP","YES","5853812529","PITTSFORD","Tennis Club of Rochester, Inc","570 Kreag Rd","Pittsford NY","14534",,,,"Deanna Kernan","5853812529","CHILDREN'S DAY CAMP",24.00,,$200.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,,0,"Deanna@TCR1886.com",,,,0,"Tennis Club","Yes",0,"ES",,,0,0,,"{8BE2FE90-3D6C-41DA-AB38-3330919E76DA}",,0
"27-8919","BOY SCOUTS OF AMERICA - CITY DAY CAMP","1000 E. RIVER ROAD","ROCHESTER, NY 14623",14623.00,,"CHILDREN'S CAMP","YES","5852444210","ROCHESTER","Boy Scouts -Seneca Waterways Council","2320 Brighton-Henrietta TL Road","Rochester, NY","14623",,,,"Alexander Mastromarchi","5852418568","CHILDREN'S DAY CAMP",,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Food Link",0,"alex.mastromarchi@scouting.org",,,,0,"No Swimming","No",0,"LH",,,0,0,,"{91E69CCD-A635-49EB-9720-4DE91BDA3C00}",,0
"27-8921","OAK HILL COUNTRY CLUB - SUMMER CAMP","145 KILBOURN RD","ROCHESTER, NY 14618",14618.00,,"CHILDREN'S CAMP","YES","5855861660","PITTSFORD","OAK HILL COUNTRY CLUB","145 KILBOURN ROAD","ROCHESTER, NY","14618",,,,"CHEOL KESSLER","5855861660","CHILDREN'S DAY CAMP",30.00,,$200.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"OAK HILL",0,"CKESSLER@OAKHILLCC.COM",,,,0,"OAK HILL","Yes",0,"LH",,,0,0,,"{7C7B2D8C-9C76-46D6-8192-372E917AF22D}",,0
"27-8958","TURIN DAY CAMP","260 HOGAN ROAD","FAIRPORT, NY 14450",14450.00,,"CHILDREN'S CAMP","YES","5857324629","FAIRPORT","LONESTAR SPORTS, INC.","260 HOGAN RD","FAIRPORT, NY","14450",,,,"MARYBETH ELLIS","5857324629","CHILDREN'S DAY CAMP",,,$200.00,06-25-2018 0:00:00,08-31-2018 0:00:00,,0,,,,,,"BG",,,,,,,,,0,0,0,0,0,0,0,"12/29/2017 - TC from Marybeth Ellis, plan on opening day camp under Lonestar Sports, Inc.  Will operate June 25- August 31. Sent email with safety plan template and info for new camps with 2017 info as well as factsheet for CC Aquatic Director which is required.  2018 Application to be sent.  Provided her w/ Sue Painting for pool contact. Sent Food Permit application.  LH",,0,0,,0,"marybeth@brightonsportszone.com",,,,0,"TURIN","Yes",0,"LH",,,0,0,,"{5AD840C5-72D9-435C-9C32-EFE537EFFACB}",,0
"27-8960","ROBERTS WESLEYAN COLLEGE - ACADEMIC","2301 WESTSIDE DR.","ROCHESTER, NY  14624",14624.00,16.00,"CHILDREN'S CAMP","Yes","5855946315","CHILI","ROBERTS WESLEYAN COLLEGE","2301 WESTSIDE DRIVE","ROCHESTER, N Y","14624",,,"160743126","AMY KOVACH","5855946315","CHILDREN'S OVERNIGHT CAMP",,,$0.00,07-30-2018 0:00:00,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,"2/14/2018 - TC from Dr. Amy Kovach from Roberts.  Discussed operation of 5 day 4 night overnight camp for 2018 season.  About 90-120 students ages 14-17. Mostly academic during the day with several themes to select from.  Other evening activities include volleyball, dodge ball, on campus movie, board games, trip to Strong Museum. She has an RN hired who is currently a school nurse and works in a hospital.  Discussed  CPR/FA requirements.  Sent link to safety plan.  She has registration/medical form she worked on with RN that she will send for review.  LH",,0,0,"College food service",0,"KOVACH_AMY@ROBERTS.EDU","AMY KOVACH",,,0,"No Swimming","Yes",0,"LH",,,0,0,,"{EEF71451-177C-4A9D-AB8E-2EA0269A2396}",,0
